원소명, ,Al,Si,S,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,W,Zn,Au,Hg,Bi,Se,As,Br,Pb,Sr,Mo,Ag,Cd,Sn,Sb,Ba_start,Ba_middle,Ba_end
원소명, ,Al,Si,S,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,W,Zn,Au,Hg,Bi,Se,As,Br,Pb,Sr,Mo,Ag,Cd,Sn,Sb,Ba_start,Ba_middle,Ba_end
 ,PAINTING_FAMILY_001-XRF.csv,292,588,43837,4102,22632,1801,1872,5977,3219,11109,104,156,165,14219,656,813,1250,2804,657,987,159338,536,139,402,4089,659,361,202,254,147
 ,PAINTING_FAMILY_002-XRF.csv,300,561,43835,1930,16724,1840,1731,3510,2967,8491,137,161,194,20269,791,844,1194,5899,676,935,156841,454,160,357,7294,621,385,186,209,119
 ,PAINTING_FAMILY_003-XRF.csv,277,666,47501,1894,17799,1807,1726,3736,3157,10196,147,177,464,63556,1868,2201,1019,1797,1196,1932,128930,511,157,429,3743,527,432,224,195,164
 ,PAINTING_FAMILY_004-XRF.csv,280,592,46969,1689,5543,1833,1831,3761,3098,7748,124,171,195,14837,666,990,1315,4386,825,1221,162846,443,140,322,4284,621,325,190,192,147
 ,PAINTING_FAMILY_005-XRF.csv,247,517,40064,1829,9860,1776,1822,3560,3016,6325,154,171,230,22527,853,2680,1221,2423,1589,2482,157688,509,136,333,2477,609,330,188,242,150
 ,PAINTING_FAMILY_006-XRF.csv,325,610,35644,4190,67671,1882,1857,8096,4027,9445,133,146,211,16759,740,1978,1357,1792,1398,2129,176108,502,130,333,3041,626,374,162,169,113
 ,PAINTING_FAMILY_007-XRF.csv,232,477,28977,1964,13677,1960,1904,6311,3771,7399,112,125,137,5427,447,931,1427,2074,725,1126,189555,440,109,305,3603,667,269,159,172,142
 ,PAINTING_FAMILY_008-XRF.csv,336,834,37051,4467,31093,2324,2328,7008,5337,36622,140,193,377,50735,1420,1213,898,3233,800,1086,111463,585,230,552,7254,634,535,209,216,171
 ,PAINTING_FAMILY_009-XRF.csv,288,506,41406,1485,19069,1746,1768,3705,3156,5374,117,128,179,7835,472,864,1487,1718,615,938,181038,392,113,339,1962,615,301,148,166,132
 ,PAINTING_FAMILY_010-XRF.csv,431,749,55426,23013,25196,3026,2892,5327,5957,23142,124,151,186,18623,628,859,1128,2089,881,1107,148756,1403,142,401,10709,553,426,205,217,131
 ,PAINTING_FAMILY_011-XRF.csv,452,1380,37695,8501,34041,2389,2271,9597,8407,54952,132,159,385,52038,1576,1565,660,3129,1142,1399,74492,567,286,690,9493,651,647,297,323,202
 ,PAINTING_FAMILY_012-XRF.csv,318,1078,47632,2982,24525,2162,2159,3743,4387,30521,112,160,299,35845,1189,982,1085,2663,753,1123,135609,652,170,382,6639,594,498,185,244,146
 ,PAINTING_FAMILY_013-XRF.csv,382,965,45432,5063,18016,2262,2193,4002,4235,37877,133,213,471,78709,2087,3388,796,12048,1829,2808,97849,605,195,490,9812,507,627,225,257,133
 ,PAINTING_FAMILY_014-XRF.csv,336,879,47881,2254,16767,1897,1822,6561,4635,18659,123,146,163,14250,600,759,1267,2665,714,900,160183,466,134,353,4567,665,384,199,206,144
 ,PAINTING_FAMILY_015-XRF.csv,323,688,54180,1447,9530,1723,1774,5492,3376,6913,110,145,163,7671,480,693,1460,2112,605,846,187653,414,113,262,2553,596,254,159,162,111
 ,PAINTING_FAMILY_016-XRF.csv,333,758,50680,1675,17439,1828,1735,7162,3763,8186,105,145,128,5148,407,653,1422,9217,606,849,188404,425,125,265,7511,581,346,142,143,110
 ,PAINTING_FAMILY_017-XRF.csv,373,871,50658,4290,19884,2026,1873,3946,4465,24292,141,130,301,37719,1285,1622,1054,4010,1174,1777,134192,656,147,375,8993,577,641,194,209,151
 ,PAINTING_FAMILY_018-XRF.csv,306,1005,45912,5082,20886,2318,2418,6298,4449,31783,119,147,327,42946,1343,1653,946,3291,1084,1547,126743,627,172,436,9790,529,553,200,230,179
 ,PAINTING_FAMILY_019-XRF.csv,360,931,45650,4255,26179,2073,2085,5938,4185,28077,98,151,261,32718,1062,1497,963,3293,994,1493,121328,593,195,536,9785,630,566,207,217,168
 ,PAINTING_FAMILY_020-XRF.csv,449,2372,35854,8207,18355,2621,2569,6556,14602,68352,132,189,142,15896,622,2804,1110,3443,1602,2379,137440,682,151,371,6243,557,415,182,190,117
 ,PAINTING_FAMILY_021-XRF.csv,375,1120,35829,9595,32808,2626,2541,11022,10657,56562,111,180,581,75750,2056,3862,447,2243,1922,2859,51090,700,379,731,7421,651,674,266,316,200
 ,PAINTING_FAMILY_022-XRF.csv,342,757,27528,2938,135707,2360,2294,2839,3796,23718,113,398,271,36680,1212,901,1039,3041,844,1109,134028,620,173,429,8044,668,521,206,261,162
 ,PAINTING_FAMILY_023-XRF.csv,344,982,46475,3419,37743,2004,1938,3357,4087,21531,151,609,237,26776,1042,576,1206,3360,754,703,153569,555,122,309,9117,506,452,152,147,101
 ,PAINTING_FAMILY_024-XRF.csv,328,956,41298,3703,37097,2222,2266,5982,5792,35112,121,587,394,58246,1723,1332,890,3471,973,1201,119907,524,180,429,6844,532,450,204,185,152
